Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
150000,-0.0040288363,5.689411,3.6031638e-06,0.061090738,0.0002991312,9366.0,-0.5,-0.5,1.0
160000,-0.0071070897,5.692023,0.0029773053,0.06700286,0.0002990744,7799.4,-0.6,-0.6,1.0
170000,-0.010855894,5.7032332,0.008469577,0.06320105,0.00029901142,4371.88,-0.52,-0.52,1.0
180000,-0.016135786,5.731949,0.0028689099,0.06528314,0.00029894922,381.4,-0.5,-0.5,1.0
190000,0.0051521375,5.7837286,8.5863634e-05,0.07012344,0.00029888639,None,None,None,1.0
200000,0.0049898135,5.7422714,0.0009004054,0.06436324,0.00029882923,1831.0,-0.5,-0.5,1.0
210000,-0.0015344913,5.7280817,0.0023565355,0.06547282,0.00029877253,1597.8,-0.6,-0.6,1.0
220000,-0.01540583,5.8326335,0.001911707,0.070613675,0.00029870943,948.25,-0.75,-0.75,1.0
230000,-0.035717104,5.797017,0.0040873,0.066792674,0.0002986464,1224.7,-0.6,-0.6,1.0
240000,-0.06079522,5.7733536,0.004563855,0.066845074,0.00029859005,1718.0,-0.5,-0.5,1.0
250000,-0.07132564,5.799996,0.0041175196,0.065142795,0.00029853368,452.25,-0.625,-0.625,1.0
260000,-0.05576908,5.7325215,0.0020292874,0.060181886,0.00029847052,914.625,-0.5,-0.5,1.0
270000,-0.022954304,5.639158,0.0006149289,0.06767838,0.00029840745,814.5,-0.5,-0.5,1.0
280000,-0.08908539,5.743242,0.0018977785,0.07652597,0.00029835053,None,None,None,1.0
290000,-0.054208834,5.769347,5.9103513e-05,0.07534222,0.00029829348,None,None,None,1.0
300000,-0.027115274,5.7944,1.1943396e-05,0.07250063,0.00029823012,None,None,None,1.0
310000,-0.014561136,5.8425612,5.4990114e-06,0.06603939,0.00029816676,None,None,None,1.0
320000,-0.0067124567,5.878787,2.7640128e-06,0.0710552,0.00029810975,None,None,None,1.0
330000,-0.0038822768,5.945901,2.0030607e-06,0.06829884,0.00029805274,None,None,None,1.0
340000,-0.0021653841,5.927715,2.760375e-06,0.06946696,0.0002979893,None,None,None,1.0
350000,-0.002266978,5.935581,3.6949743e-06,0.06363571,0.00029793195,None,None,None,1.0
360000,-0.0016418787,5.9533825,4.629291e-06,0.06423382,0.00029787456,None,None,None,1.0
370000,-0.0008021304,5.923455,2.9718701e-06,0.06628439,0.0002978112,None,None,None,1.0
380000,-0.0008549978,5.8893895,1.7915187e-06,0.06689421,0.00029774752,None,None,None,1.0
390000,-0.00065199315,5.943152,1.4659665e-06,0.06456928,0.00029769042,None,None,None,1.0
400000,-0.00031513034,6.0006604,1.815772e-06,0.06524299,0.0002976334,None,None,None,1.0
410000,-8.803941e-06,5.9769588,6.638213e-07,0.07170997,0.00029757005,None,None,None,1.0
420000,-0.0002815058,5.9714336,1.037992e-06,0.06511193,0.0002975067,None,None,None,1.0
430000,-0.00090754364,5.9570932,7.6482564e-07,0.07250105,0.00029744965,None,None,None,1.0
440000,-0.00025446943,5.9786057,5.5092664e-07,0.06641012,0.00029739263,None,None,None,1.0
450000,-0.000117436255,6.026549,7.397127e-07,0.065591775,0.00029732904,None,None,None,1.0
460000,0.0004273972,5.9665613,8.3367746e-07,0.0668346,0.00029727147,None,None,None,1.0
470000,0.00016164138,6.0001693,6.083705e-07,0.06669793,0.00029721446,None,None,None,1.0
480000,-0.00052519474,5.945628,3.8821267e-07,0.06291597,0.0002971511,None,None,None,1.0
490000,-0.0005530503,5.9206815,2.641419e-07,0.06220738,0.00029708774,None,None,None,1.0
500000,-0.00039516418,5.9229383,2.2581487e-07,0.0673653,0.00029703073,None,None,None,1.0
510000,-0.00011928966,5.894205,3.5516695e-07,0.068560705,0.00029697368,None,None,None,1.0
520000,-0.00040540253,5.923656,6.7295815e-07,0.0583268,0.0002969103,None,None,None,1.0
530000,0.0008230152,5.945901,2.4565983e-07,0.07484648,0.00029684696,None,None,None,1.0
540000,0.00077279186,5.931616,7.36361e-07,0.06400943,0.00029678995,None,None,None,1.0
550000,-0.0010128614,5.8932166,1.101149e-06,0.065604165,0.0002967329,None,None,None,1.0
560000,-0.0012151975,5.7780933,9.376321e-08,0.073609784,0.00029666955,None,None,None,1.0
570000,-0.00025789268,5.832881,5.922615e-07,0.06538358,0.0002966062,None,None,None,1.0
580000,0.0013051558,5.833214,5.093465e-07,0.06753372,0.00029654917,None,None,None,1.0
590000,0.00075563136,5.7700577,8.282799e-07,0.069878235,0.00029649213,None,None,None,1.0
600000,-0.0005131249,5.7430906,6.41005e-08,0.06837351,0.00029642863,None,None,None,1.0
610000,-0.0005378789,5.6864653,1.8391846e-07,0.06642089,0.00029637138,None,None,None,1.0
620000,-0.0006678093,5.726492,4.857302e-07,0.073430285,0.00029631436,None,None,None,1.0
630000,0.0002451707,5.7230463,3.4496128e-07,0.07031938,0.000296251,None,None,None,1.0
640000,-0.00020068743,5.670061,5.334815e-07,0.06617925,0.00029618765,None,None,None,1.0
650000,-0.00013476466,5.6984,2.160427e-07,0.066599555,0.0002961306,None,None,None,1.0
660000,0.00035384085,5.698085,4.4180638e-07,0.065589555,0.0002960736,None,None,None,1.0
670000,0.00051609747,5.7236023,2.7360966e-07,0.06306077,0.00029601023,None,None,None,1.0
680000,0.00014804551,5.756894,3.2055988e-07,0.06802236,0.00029594687,None,None,None,1.0
690000,0.0005851596,5.693045,1.1452364e-06,0.06918183,0.00029588985,None,None,None,1.0
700000,0.00031598486,5.616389,3.725701e-08,0.06438642,0.00029583243,None,None,None,1.0
710000,0.00021448653,5.5550547,4.0873488e-07,0.07085618,0.0002957691,None,None,None,1.0
720000,0.00030140398,5.542611,1.0740821e-07,0.06983464,0.00029570571,None,None,None,1.0
730000,0.0003716917,5.6322327,2.0157431e-07,0.071624935,0.0002956487,None,None,None,1.0
740000,0.0005135654,5.681114,9.074264e-07,0.060688067,0.0002955917,None,None,None,1.0
750000,0.00015080784,5.684295,2.8145275e-08,0.068957925,0.0002955283,None,None,None,1.0
760000,-0.0005213197,5.656829,3.3689318e-07,0.06545005,0.0002954713,None,None,None,1.0
770000,-0.00035896408,5.5854616,4.488116e-07,0.069273084,0.00029540696,None,None,None,1.0
780000,0.00027315682,5.5661736,6.7690664e-08,0.068094485,0.00029534995,None,None,None,1.0
790000,0.00040411853,5.5313168,3.7246073e-07,0.07062567,0.00029528717,None,None,None,1.0
800000,0.00036437679,5.5525026,6.835859e-08,0.07262778,0.00029523013,None,None,None,1.0
810000,-9.5391886e-05,5.42443,3.4704146e-07,0.0687022,0.00029517297,None,None,None,1.0
820000,-0.0006740206,5.4279094,1.3662614e-07,0.07068636,0.0002951092,None,None,None,1.0
830000,-7.501043e-05,5.476787,5.4922776e-07,0.06483986,0.0002950456,None,None,None,1.0
840000,0.00029332942,5.6529393,8.659423e-07,0.07708759,0.0002949886,None,None,None,1.0
850000,0.00087751535,5.6113358,1.00827926e-07,0.06586112,0.00029493158,None,None,None,1.0
860000,0.00020539422,5.5923843,9.668903e-08,0.065102465,0.00029486822,None,None,None,1.0
870000,-0.00019318824,5.5528693,1.3304049e-06,0.06965948,0.0002948112,None,None,None,1.0
880000,-0.00054059183,5.550584,5.1067804e-08,0.06905701,0.0002947542,None,None,None,1.0
890000,-0.0002700892,5.4976773,3.4565353e-08,0.06985132,0.0002946908,None,None,None,1.0
900000,-0.0002207483,5.5536985,1.3562679e-07,0.06497632,0.00029462745,None,None,None,1.0
910000,-0.00034203706,5.6566834,2.8456898e-07,0.067887284,0.0002945704,None,None,None,1.0
920000,0.00023876515,5.782237,5.584078e-07,0.06636883,0.0002945134,None,None,None,1.0
930000,0.0008588332,5.7730017,5.666319e-08,0.06754319,0.00029445003,None,None,None,1.0
940000,0.0010759567,5.685461,4.5381944e-07,0.069908164,0.00029438667,None,None,None,1.0
950000,0.0008280244,5.71164,8.354954e-08,0.06439862,0.00029432966,None,None,None,1.0
960000,0.0004984192,5.7648363,1.4724195e-07,0.06575875,0.0002942726,None,None,None,1.0
970000,-0.00034973214,5.8076253,8.724821e-06,0.06575904,0.00029420928,None,None,None,1.0
980000,-0.00020028719,5.7791533,1.2474433e-08,0.06631265,0.0002941459,None,None,None,1.0
990000,-0.00012502153,5.6842694,1.01676605e-08,0.070791304,0.00029408888,None,None,None,1.0
1000000,-9.805388e-05,5.5501513,9.096199e-09,0.06605336,0.0002940315,None,None,None,1.0
1010000,-8.52994e-05,5.5907884,4.93896e-09,0.06781678,0.0002939678,None,None,None,1.0
1020000,-8.785954e-05,5.608192,5.7770175e-09,0.06375853,0.00029391068,None,None,None,1.0
1030000,-7.187074e-05,5.550823,4.113857e-09,0.069011785,0.0002938537,None,None,None,1.0
1040000,-1.6163573e-05,5.5749097,4.2168558e-09,0.0693046,0.0002937903,None,None,None,1.0
1050000,-3.090023e-05,5.68654,4.993283e-09,0.06606671,0.00029372697,None,None,None,1.0
1060000,5.9067193e-06,5.675418,7.1872024e-09,0.06324511,0.00029366993,None,None,None,1.0
1070000,0.00040409187,5.577776,2.773883e-07,0.067811206,0.00029361292,None,None,None,1.0
1080000,0.00038497944,5.495095,3.848201e-07,0.07333327,0.00029354932,None,None,None,1.0
1090000,0.00027520652,5.4541183,3.3726163e-08,0.06918682,0.00029348582,None,None,None,1.0
1100000,0.00012341086,5.3923564,2.6839716e-08,0.0656733,0.0002934288,None,None,None,1.0
1110000,9.068975e-05,5.3699207,7.471897e-08,0.06968413,0.00029337176,None,None,None,1.0
1120000,0.000715989,5.504007,1.6343716e-07,0.06729931,0.0002933084,None,None,None,1.0
1130000,0.0006666438,5.2909923,1.8902604e-07,0.06446854,0.0002932514,None,None,None,1.0
1140000,0.000509488,5.3500586,1.6884093e-07,0.07453531,0.00029319437,None,None,None,1.0
1150000,-0.00026366563,5.420212,3.0261486e-07,0.06837419,0.000293131,None,None,None,1.0
1160000,-0.00087072875,5.5122876,7.097013e-08,0.071550645,0.00029306763,None,None,None,1.0
1170000,-0.0008130894,5.6599736,8.662252e-07,0.067352764,0.00029301012,None,None,None,1.0
1180000,-0.0052375183,5.82133,6.8080726e-06,0.06955098,0.0002929528,None,None,None,1.0
1190000,-0.01300126,5.8716006,0.0010076782,0.06419788,0.00029288948,28523.0,-0.75,-0.75,1.0
1200000,-0.008625004,5.922967,3.5524146e-05,0.06208534,0.00029282604,None,None,None,1.0
1210000,-0.004257445,5.855703,1.215661e-06,0.068261884,0.00029276867,None,None,None,1.0
1220000,-0.0024926253,5.855843,3.6398285e-07,0.07000396,0.0002927114,None,None,None,1.0
1230000,-0.0011146184,5.718619,9.68319e-08,0.06758229,0.00029264804,None,None,None,1.0
1240000,-0.00046312943,5.678206,1.271338e-07,0.064463556,0.000292591,None,None,None,1.0
1250000,8.845157e-06,5.654495,4.812108e-08,0.06411774,0.00029253398,None,None,None,1.0
1260000,-0.00059859635,5.7272587,2.9380655e-07,0.07427742,0.00029247062,None,None,None,1.0
1270000,-0.0003550236,5.773446,4.825572e-07,0.07025243,0.00029240726,None,None,None,1.0
1280000,0.0005403763,5.7478623,6.404685e-07,0.0653092,0.00029235025,None,None,None,1.0
1290000,0.00036973765,5.757537,3.4956267e-07,0.07018028,0.0002922932,None,None,None,1.0
1300000,0.0006859209,5.6695795,1.8066025e-07,0.06888895,0.00029222967,None,None,None,1.0
1310000,-0.0002924154,5.696852,1.6001448e-07,0.065676324,0.0002921661,None,None,None,1.0
1320000,-0.000104978455,5.6970234,1.7132649e-07,0.07166233,0.0002921091,None,None,None,1.0
1330000,0.00052213616,5.703365,2.0383807e-07,0.0666269,0.00029205205,None,None,None,1.0
1340000,0.0006224615,5.640111,2.7494988e-07,0.074030645,0.0002919887,None,None,None,1.0
1350000,0.00029045893,5.625551,1.1396076e-07,0.07332354,0.0002919315,None,None,None,1.0
1360000,0.00025788572,5.6273265,1.7531127e-07,0.06503772,0.00029187425,None,None,None,1.0
1370000,5.190056e-05,5.606209,1.7775908e-07,0.06305852,0.00029181092,None,None,None,1.0
1380000,-0.0004160513,5.5874376,1.0326189e-07,0.069785856,0.00029174754,None,None,None,1.0
1390000,-0.0005983306,5.5308127,1.8034515e-07,0.07091476,0.00029169052,None,None,None,1.0
1400000,-0.0002752521,5.5144534,2.4864764e-07,0.06958722,0.00029163348,None,None,None,1.0
1410000,-0.0005339593,5.559705,1.4757002e-07,0.07508013,0.00029157015,None,None,None,1.0
1420000,0.0002825674,5.5611086,2.245865e-07,0.06840382,0.00029150676,None,None,None,1.0
1430000,0.00056570605,5.5141726,5.6620895e-08,0.06763769,0.00029144975,None,None,None,1.0
1440000,0.0005521256,5.3865995,1.7372142e-07,0.07042514,0.00029139273,None,None,None,1.0
1450000,0.00017008663,5.446103,1.2529804e-07,0.06719861,0.00029132937,None,None,None,1.0
1460000,0.00081834896,5.4365225,2.1149808e-07,0.07287188,0.000291266,None,None,None,1.0
1470000,0.00056028855,5.3243637,1.1782967e-07,0.067528635,0.000291209,None,None,None,1.0
